day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
115,5.06031007751938,5.367666666666667,1.437874908457816,129,2.3775179173383103,2.3375,0.9042141023627883,129
116,5.188881782945737,5.483388888888889,1.4123149691681274,129,2.3955199556857267,2.4000000000000004,0.9199815754375661,129
117,5.230755813953489,5.555833333333333,1.5056244535291785,129,2.468758152447485,2.433333333333333,0.8788418898053241,129
118,4.949061538461539,5.226819444444445,1.6354264436343007,130,2.540918609386697,2.6187500000000004,0.9654492903985251,130
119,4.765054048234281,4.859694444444445,1.5493316563472894,129,2.6167853523838476,2.5791666666666666,0.987001013632638,129
120,4.613650732127477,4.740055555555556,1.6950679681333185,129,2.5986871547037786,2.566666666666667,0.9545197613575411,129
121,4.725087636932708,4.883208333333333,1.6823185712738178,142,2.4577773194645194,2.5479166666666666,0.9548767720000855,142
122,4.439735197368421,4.644055555555556,1.5235739569916928,152,2.381302241213211,2.4154761904761903,0.9602101161755573,152
123,4.444868469462841,4.744166666666667,1.5665373116538008,151,2.6576042629608865,2.833333333333333,0.9582579332435702,151
124,4.722502575423105,4.850499999999999,1.555499378666015,151,2.548256699742955,2.558333333333333,1.0592971112494265,151
125,4.821130818318318,5.0585,1.465074645315381,148,2.47932755295527,2.5278079710144925,0.9778722220873356,148
126,4.563392617449665,4.636861111111111,1.28397339552517,149,2.4154249709944806,2.3291666666666666,0.9092639620904024,149
127,4.754962599854757,4.959027777777778,1.3675234047398874,153,2.3711485588233243,2.35,0.9665208109614312,153
128,4.4918455988455985,4.613472222222223,1.4043262726902568,154,2.732810399298612,2.682971014492754,1.093504038454157,154
129,4.721916122004357,4.965027777777778,1.4660664585766903,153,2.685237476047365,2.720833333333333,1.0601418104670872,153
130,4.603699527959332,4.712388888888889,1.676892400378142,153,2.6257632407376654,2.658333333333333,1.0571277852024101,153
131,4.753634531590414,4.812833333333334,1.6411790436874634,153,2.7866855287790138,2.833333333333333,1.007422333642895,153
132,4.891988275613276,5.253444444444444,1.6659250267417998,154,2.58436298721883,2.5270833333333336,1.0814038795086567,154
133,4.759372420634921,4.994166666666667,1.586013155869823,140,2.5972832405689545,2.6083333333333334,1.0612093896069934,140
134,4.818538057742782,5.174722222222222,1.3870456040276395,127,2.5007433371717864,2.4833333333333334,0.975416359111486,127
135,4.648784829059829,4.974694444444444,1.4577345819544356,130,2.5521565246347855,2.5625,1.0678425754359242,130
136,4.640901162790698,4.857638888888889,1.480432139523009,129,2.358402196893097,2.3000000000000003,1.0482447073430285,129
137,4.670839362618433,4.860416666666667,1.3983638677980537,129,2.360101469702076,2.325,0.9663785920402195,129
138,4.550637166236004,4.655638888888888,1.2956019376460783,129,2.692732893721266,2.8000000000000003,0.9638024155915235,129
139,4.515623600344531,4.74925,1.421627900779085,129,2.5850697468467945,2.6791666666666667,0.9549601965934692,129
140,4.773554487179488,4.995319444444445,1.2835297004051862,130,2.6001478089035297,2.7416666666666663,1.0260889651914833,130
141,4.428682508680556,4.605,1.432157908725833,128,2.7075230493012423,2.5562500000000004,1.116429087061519,128
142,4.560189453125,4.754083333333334,1.2986595713418119,128,2.561236380861265,2.645833333333333,1.0214801664729496,128
143,4.523686197916667,4.468666666666667,1.277069924100321,128,2.582542389392763,2.5407196969696972,1.0635546647760215,128
144,4.340425996607294,4.440472222222222,1.3722053393741982,131,2.496740645127635,2.5869565217391304,0.9023436008307297,131
145,3.9783763782866837,4.134111111111111,1.41334883627627,131,2.570185257822165,2.6791666666666667,0.9875716410882918,131
146,4.264376802374894,4.2975,1.273692497199709,131,2.570694842550966,2.670833333333333,0.9586521548247638,131
147,4.4026914758269715,4.522305555555556,1.3819895131088988,131,2.548981002955447,2.708333333333333,0.9789164098398585,131
148,4.086284987277353,4.244472222222222,1.3979561084172525,131,2.5625746407591743,2.5291666666666663,0.9593630147645571,131
149,4.4118708651399485,4.495972222222222,1.422462841211098,131,2.7212082294035986,2.7375000000000003,1.0814454214151907,131
150,4.148761238337575,4.275194444444445,1.2727863746775414,131,2.690122508980058,2.6791666666666667,1.0764053099863304,131
151,4.1106202991453,4.178180555555556,1.355493382618087,130,2.6541848350924435,2.75,1.06783987719281,130
152,4.4862906746031745,4.613888888888889,1.3063038097246114,140,2.4981217448441826,2.4729166666666664,1.0392968116230823,140
153,4.501527229532164,4.641569444444444,1.3834945014858975,152,2.410668081677618,2.3745833333333337,1.0408745992259814,152
154,4.832334064327486,5.061402777777778,1.375455883913393,152,2.4187678459498354,2.29375,1.0567244644979503,152
155,4.31947423245614,4.4005833333333335,1.5762725991412228,152,2.4335521909216062,2.464039855072464,1.0427412073879376,152
156,4.391447002923977,4.5443194444444455,1.4928814375066757,152,2.4462728644829617,2.541666666666667,0.9453353626675357,152
157,4.412786310820625,4.537444444444445,1.223552422772788,153,2.665015854959313,2.75,1.0393741343542806,153
158,4.346627450980392,4.508722222222223,1.326933400554788,153,2.7339792831257026,2.6875,0.9902204006239453,153
159,4.385434640522876,4.520638888888889,1.3421585631922595,153,2.859225363746497,2.841666666666667,1.1129778085215518,153
160,4.635828612926652,4.992666666666667,1.397060083092163,153,2.9208258699741405,2.904166666666667,1.112711224993627,153
161,4.613101608187134,4.5735277777777785,1.492267846206305,152,2.792862481100173,2.8812499999999996,1.041526187406672,152
162,4.735614259259259,4.6982083333333335,1.504238433898581,150,2.7995350193284976,2.872916666666667,1.0317437592491756,150
