day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
104,5.3525689143341815,5.503472222222222,1.3235331627003921,131,2.453834884691589,2.433333333333333,0.9519863406553097,131
105,5.149105769230769,5.422819444444444,1.543887267625023,130,2.460199658846112,2.4458333333333333,0.9425023654644715,130
106,5.318358333333333,5.574666666666667,1.4594413836825157,130,2.4756744240059456,2.4416666666666664,0.9127896833867377,130
107,5.1713114927905,5.459083333333334,1.6248482416097205,131,2.4720532718010317,2.6125000000000003,0.9481928421538901,131
108,5.120145038167939,5.439027777777778,1.5668822755471046,131,2.5760412821583714,2.658333333333333,0.9207657785867892,131
109,5.0187169211195926,5.405333333333333,1.5482947939762843,131,2.611003192514975,2.6166666666666667,0.9797690668978326,131
110,5.102839906700593,5.332194444444445,1.4823173498127644,131,2.506544056337598,2.4166666666666665,0.959214280782875,131
111,5.146216921119593,5.329833333333334,1.4811734738351892,131,2.449860717289709,2.3000000000000003,0.9884510227734409,131
112,4.708034188034189,5.005763888888889,1.602528867331389,130,2.5753513315441237,2.5166666666666666,1.0120630952031133,130
113,4.870690415606446,5.051166666666667,1.4200658915563913,131,2.53629954577808,2.458333333333333,0.9480609599247236,131
114,4.877292204995693,5.187305555555556,1.523161655788578,129,2.534256788599559,2.5708333333333333,0.9271157382156648,129
115,5.06031007751938,5.367666666666667,1.437874908457816,129,2.3775179173383103,2.3375,0.9042141023627883,129
116,5.188881782945737,5.483388888888889,1.4123149691681274,129,2.3955199556857267,2.4000000000000004,0.9199815754375661,129
117,5.230755813953489,5.555833333333333,1.5056244535291785,129,2.468758152447485,2.433333333333333,0.8788418898053241,129
118,4.949061538461539,5.226819444444445,1.6354264436343007,130,2.540918609386697,2.6187500000000004,0.9654492903985251,130
119,4.765054048234281,4.859694444444445,1.5493316563472894,129,2.6167853523838476,2.5791666666666666,0.987001013632638,129
